"name","scene","actor","target"
"「おいしいお酒」を勧める","","",""
"Ａ愛撫","","",""
"Ａ駅弁","","",""
"Ａ騎乗位","","",""
"Ａ屈曲位","","",""
"Ａ後背位","","",""
"Ａ寝バック","","",""
"Ａ正常位","","",""
"Ａ挿入","","",""
"Ａ挿入する","","",""
"Ａ挿入系","","",""
"Ａ側位","","",""
"Ａ体位を変える","","",""
"Ａ対面座位","","",""
"Ａ対面立位","","",""
"Ａ背面駅弁","","",""
"Ａ背面座位","","",""
"Ａ立ちバック","","",""
"Ｂ愛撫","","",""
"Ｃ愛撫","","",""
"Ｅマッサージャ","","",""
"FOR LOCAL, 0, RESULT","","",""
"Ｇスポ責め","","",""
"Ｓ字結腸責め","","",""
"TSTR:コマンドカラー受渡 =","","",""
"Ｖ愛撫","","",""
"Ｖ挿入","","",""
"Ｖ挿入する","","",""
"Ｖ挿入系","","",""
"アイテム使用","","",""
"アナニー","","",""
"アナルセックス処理","","",""
"アナルバイブ","","",""
"アナルバイブオナニー","","",""
"アナルバイブ自慰","","",""
"アナルバイブ責め","","",""
"アナルバイブ挿入","","",""
"アナルビーズ","","",""
"アナル愛撫","","",""
"アナル舐め","","",""
"イラマチオ","","",""
"エースオブスペード","","",""
"えっちな話","","",""
"おっぱい手綱正常位","","",""
"オナホール","","",""
"お茶を淹れる","2::rating:general::, teacup","serving tea,","sitting, drinking tea,"
"お腹を撫でる","","",""
"キス","kiss, french kiss,","",""
"キスする","kiss,french kiss,","",""
"クリオナ","","",""
"クリから名札を外す","","",""
"クリキャップ","","",""
"クンニ","","",""
"クンニ処理","","",""
"クンニ味見","","",""
"コスプレ","","",""
"こたつの中で股間を弄る","","",""
"こたつの中で尻を撫でる","","",""
"こたつの中で太ももを触る","","",""
"こっそり胸を触る","","",""
"こっそり尻を触る","","",""
"ザーメンキス","","",""
"さらしから開放する","","",""
"シックスナイン","","",""
"スカートたくし上げ","rating: sensitive,","skirt lift,","underwear,"
"スカートめくり","","",""
"スカート潜り込み","","",""
"スキンシップ","gentle interaction","grabbing another's breast,",""
"スパンキング","","",""
"セックス処理","","",""
"セルフ手コキ","","",""
"セルフ乳首吸い","","",""
"タイツを脱がす","","",""
"タイツを破く","","",""
"ダブルボテ腹ズリ","","",""
"ダンス","dancing","",""
"チクニー","","",""
"ディープキス","french kiss,","grabbing another's breast,","torso grab,"
"デート","couple, walking together","",""
"デートに割り込む","group conversation","",""
"デートに誘う","talking, smiling","",""
"デートに乱入","group conversation","",""
"デートを終える","waving goodbye","",""
"なすがまま","","",""
"ニップルピアスを外す","","",""
"ニプルキャップ","","",""
"ニプレスを剥がす","","",""
"ハーヴィンオナホ","","",""
"ハーヴィンオナホＡ","","",""
"ハーヴィンオナホＶ","","",""
"ハーヴィンオナホ解除","","",""
"ハーヴィンディルド","","",""
"ハーヴィンディルドＡ","","",""
"ハーヴィンディルドＶ","","",""
"ハーヴィンディルド解除","","",""
"パイズリ","","",""
"パイズリフェラ","","",""
"パイズリ処理","","",""
"パイズリ味見","","",""
"バイブ","","",""
"バイブオナニー","","",""
"バイブ自慰","","",""
"バイブ責め","","",""
"バイブ挿入","","",""
"バキュームフェラ","","",""
"ハグする","hugging","grabbing another's ass,",""
"パパ活値段交渉","","",""
"ハンドルイラマ","","",""
"フェラチオ","","",""
"フェラチオ処理","","",""
"フェラチオ味見","","",""
"フェラ顔を眺める","","",""
"ブラを脱がす","","",""
"プレゼントを渡す","giving a gift, gift box","",""
"ふんどしを脱がす","","",""
"へそに触れる","","",""
"ペニスバンド","","",""
"ペニバン装着","","",""
"ボテ腹ズリ","","",""
"ポルチオ責め","","",""
"マッサージ","shoulder massage","",""
"まとめて全裸にする","","",""
"まとめて抱きしめる","","",""
"ママ活値段交渉","","",""
"むりやりうふふごっこ","","",""
"リボンをほどく","","",""
"リモコン操作","holding a remote control","",""
"ローション","","",""
"ローター","","",""
"愛撫","rating: explicit, nsfw","groping, molestation, rape",""
"握手","handshake","",""
"移動","walking","",""
"一緒に隠れる","hiding together","",""
"飲む","drinking, cup","",""
"嘘告白させる","","",""
"泳ぐ","swimming","",""
"駅弁","","",""
"押し倒す","","",""
"下の服を脱がす","","",""
"下鎧を脱がす","","",""
"下着を脱がす","","",""
"下腹部を圧迫する","","",""
"何もしない","","",""
"家から出る","leaving home","",""
"暇を潰す","relaxing","",""
"歌う","singing","",""
"会話","conversation, talking","",""
"会話する","conversation, talking","",""
"貝合わせ","","",""
"角ハンドル","","",""
"角ハンドルＡ","","",""
"角ブラシ","","",""
"角を撫でる","","",""
"角愛撫","","",""
"兜合わせ","","",""
"観光客をナンパ","talking, outdoors","",""
"観察する","looking at another person","",""
"帰宅する","arriving home","",""
"起こす","waking up, bedroom","",""
"騎乗位","","",""
"亀頭責め","","",""
"疑似性交","","",""
"逆ハーヴィンオナホ","","",""
"逆ハーヴィンディルド","","",""
"逆挿入歩き","","",""
"休憩","resting together","",""
"休憩する","resting together","",""
"許しを乞う","apologizing, bowed head","",""
"強く吸う","","",""
"胸のリボンを解く","","",""
"胸を犯す","","",""
"胸を揉む","","",""
"胸愛撫","","",""
"玉揉み","","",""
"玉舐めフェラ","","",""
"屈曲位","","",""
"結婚を申し込む","marriage proposal, ring","",""
"肩を揉む","shoulder massage","",""
"肩組み乳揉み","","",""
"見せ槍","","",""
"呼び出す","","",""
"股間を弄る","","",""
"後背位","","",""
"交互にキス","","",""
"口説く","talking, smiling","grabbing another's chin",""
"告白する","talking, blushing","",""
"告白を受け入れる","smiling, blushing","",""
"腰を振る","","",""
"腰を動かす","","",""
"搾乳機","","",""
"雑務をこなす","working, casual clothes","",""
"散歩する","walking together","",""
"散歩をやめて戻る","","",""
"子宮口挿入","","",""
"子宮裏を責める","","",""
"指挿入れ","","",""
"耳に吐息を吹きかける","","",""
"耳をふさぐ","","",""
"耳を触る","","",""
"自慰","","",""
"自慰する","","",""
"自分にアイテム使用","","",""
"写真を撮る","taking a photo","holding a camera","posing for a photo"
"手コキ","","",""
"手コキ処理","","",""
"手コキ味見","","",""
"手マン処理","","",""
"手マン味見","","",""
"手をつなぐ","holding hands","",""
"手を繋ぐ","holding hands","",""
"種付けプレス","","",""
"酒を飲む","","",""
"首筋甘噛み交尾","","",""
"首絞め","","",""
"授乳手コキ","","",""
"就寝","sleeping, bed","",""
"住宅街を訪れる","walking, residential street","",""
"縦パイズリ","","",""
"宿泊エリアへ行く","walking, hotel","",""
"商業区を訪れる","walking, shopping district","",""
"笑う","smiling","",""
"上の服を脱がす","","",""
"上鎧を脱がす","","",""
"触手アナル挿入","","",""
"触手クリ責め","","",""
"触手ペニス責め","","",""
"触手緊縛","","",""
"触手口辱","","",""
"触手挿入","","",""
"触手挿入解除","","",""
"触手乳首責め","","",""
"食べる","eating","",""
"食事","eating together, dining table","",""
"尻を撫でる","rating: sensitive, ","grabbing another's ass,",""
"尻を揉む","rating: sensitive, ","grabbing another's ass,",""
"尻越し手マン","","",""
"尻尾の付け根を触る","","",""
"尻尾ひっぱり後背位","","",""
"尻尾ひっぱり後背位Ａ","","",""
"尻尾ブラシ","","",""
"尻尾を撫でる","","",""
"尻揉み","rating: sensitive, ","grabbing another's ass,",""
"寝バック","","",""
"身体に触れる","","",""
"水を飲む","","",""
"水泳","swimming","",""
"性器ピアスを外す","","",""
"性交渉をお願いする","rating: sensitive, nsfw","groping, hand in another's panties, grabbing another's breast, grabbing from behind, assisted exposure","defiant look, scared"
"性処理業務交渉","","",""
"星晶令呪を行使する","","",""
"正常位","","",""
"接続を切る","","",""
"舌で触れ合う","","",""
"舌を入れる","","",""
"舌を絡める","","",""
"戦闘訓練","training, sparring","",""
"前張りを剥がす","","",""
"前立腺責め","","",""
"全裸にする","","",""
"全裸散歩","","",""
"素股","","",""
"掃除","cleaning","",""
"掃除する","cleaning","",""
"挿入歩き","","",""
"挿入歩きＡ","","",""
"挿入歩きＶ","","",""
"挿入歩き解除","","",""
"相談する","talking together","",""
"側位","","",""
"足コキ","","",""
"太ももを撫でる","","",""
"唾液交換","","",""
"体位を変える","","",""
"対面座位","","",""
"対面立位","","",""
"待つ","waiting together","",""
"待機","","",""
"知識を教わる","studying together, book","",""
"着替える","choosing clothes, wardrobe","",""
"挑発ジェスチャー","taunting gesture","",""
"腸内を締める","","",""
"釣り","fishing, fishing rod","",""
"店舗から出る","leaving a shop","",""
"頭を押さえつける","","",""
"頭を撫でる","headpat","",""
"同行解除","waving goodbye","",""
"同時にアナル愛撫","","",""
"同時に愛撫","","",""
"同時に胸愛撫","","",""
"同時に指挿入れ","","",""
"同時に乳首ほじり","","",""
"同時に乳首吸い","","",""
"同時に乳首責め","","",""
"同時に秘貝開帳","","",""
"道具装着","","",""
"特別飼育区から出る","walking","",""
"特別飼育区へ行く","walking","",""
"読書","reading a book","",""
"乳圧をかける","","",""
"乳首にいたずらする","","",""
"乳首の名札を外す","","",""
"乳首ひっかき","","",""
"乳首ほじり","","",""
"乳首甘噛み","","",""
"乳首亀頭責め","","",""
"乳首吸い","","",""
"乳首責め","","",""
"乳首当てゲーム","","",""
"乳露出見せ","","",""
"入口を責める","","",""
"覗く","","",""
"背中に触れる","","",""
"背面駅弁","","",""
"背面座位","","",""
"髪を梳く","","",""
"秘貝開帳","","",""
"被アナルセックス処理","","",""
"被セックス処理","","",""
"部屋から出る","walking through a doorway","",""
"服を脱がす","","",""
"物陰から出る","stepping out","",""
"物陰に隠れる","hiding","",""
"分身の術","","",""
"勉強","studying together, open book","",""
"抱きしめる","","",""
"抱き寄せる","embrace","",""
"泡踊り","","",""
"頬にキス","kiss on cheek","",""
"密着する","","",""
"盟友の誓い","handshake","",""
"雄っぱいズリ","","",""
"雄っぱいズリフェラ","","",""
"踊る","dancing","",""
"立ちバック","","",""
"料理","cooking, kitchen","",""
"料理する","cooking, kitchen","",""
"料理を奢る","","",""
"恋人繋ぎ","holding hands, interlocked fingers","",""
"連れ出す","walking together","",""
"脇をくすぐる","","",""
"膣オナ","","",""
"膣を締める","","",""
