"no","prompt","default_outfit"
"3006","boy, akiyama mizuki, otoko no ko, shota, clothed, possessive desire expression",""
"20","girl, zeta (granblue fantasy),",""
"11","girl, galleon (granblue fantasy),",""
"24","girl, medusa (shingeki no bahamut), loli, petite",""
"195","girl, orchis, loli, petite,",""
"21","girl, beatrix (granblue fantasy),",""
"27","girl, djeeta (granblue fantasy), sage (granblue fantasy)",""
"12","girl. wamdus (granblue fantasy), loli, child, petite",""
"28","girl, lyria (granblue fantasy), petite",""
"192","girl, lily (granblue fantasy), loli, petite",""
"64","girl, nier (granblue fantasy), small chest",""
"3008","girl, shinonome ena","school uniform, kneehighs,"
"1747","girl, yoisaki kanade, flat chest","blue jacket, green micro dolphin shorts, purple shirt"
"2619","boy, astolfo (memories at trifas) (fate), otoko no ko, shota",""
"2726","girl, senkawa chihiro,",""
"3007","girl, asahina mafuyu, 0.1::emotionless::","school uniform, pantyhose,"
"1040","girl, takarada rikka,",""
"1350","boy, shinonome akito,",""
"2005","boy, utsumi shou,",""
"3252","girl, shinosawa hiro,","white camisole, blue short denim shorts, off-white open robe."
"1178","boy, rance, rance (series)","armor, green clothes"
"1865","girl, saijo juri,",""
